major,url,coursedepartment,coursemodeofstudy,education_background
"Information, Communication and the Social Sciences DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-information-communication-and-social-sciences,Oxford Internet Institute,        Full time  ,        3-4 years  
"Information, Communication and the Social Sciences DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-information-communication-and-social-sciences-pt,Oxford Internet Institute,        Part time  ,        6-8 years  
Inorganic Chemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-inorganic-chemistry,Department of Chemistry,        Full time  ,        3-4 years  
Inorganic Chemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-inorganic-chemistry,Department of Chemistry,        Full time  ,        2-3 years  
Inorganic Chemistry for Future Manufacturing ESPRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/inorganic-chemistry-future-manufacturing,Department of Chemistry,        Full time  ,        4 years  
Integrated Immunology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-integrated-immunology,Nuffield Department of Surgical Sciences,        Full time  ,        1 year  
Intellectual Property Law and Practice PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-intellectual-property-law-and-practice,Faculty of Law,        Part time  ,        10 months  
Interdisciplinary Bioscience BBSRC DTP,https://www.ox.ac.uk/admissions/graduate/courses/interdisciplinary-bioscience,MPLS Doctoral Training Centre,        Full time  ,        4 years  
Interdisciplinary Medical Research (MRC Doctoral Training Partnership) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/interdisciplinary-medical-research,,        Full time  ,        3-4 years  
International Development DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-international-development,Department of International Development,        Full time  ,        3-4 years  
International Development DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-international-development-pt,Department of International Development,        Part time  ,        6-8 years  
International Health and Tropical Medicine MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-international-health-and-tropical-medicine,Nuffield Department of Clinical Medicine,        Full time  ,        1 year  
International Human Rights Law MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-international-human-rights-law,Faculty of Law,        Part time  ,        22 months  
International Relations DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-international-relations,Department of Politics and International Relations,        Full time  ,        3-4 years  
International Relations DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-international-relations-pt,Department of Politics and International Relations,        Part time  ,        6-8 years  
International Relations MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-international-relations,Department of Politics and International Relations,        Full time  ,        21 months  
International Wildlife Conservation Practice PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-international-wildlife-conservation-practice,"Department for Continuing Education, Department of Zoology",        Full time  ,        8 months  
Ion Channels and Membrane Transport in Health and Disease (OXION) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-ion-channels-and-membrane-transport,Medical Sciences Doctoral Training Centre,        Full time  ,        4 years  
Islamic Art and Architecture MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-islamic-art-and-architecture,Faculty of Oriental Studies,        Full time  ,        21 months  
Islamic Art and Architecture MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-islamic-art-and-architecture,Faculty of Oriental Studies,        Full time  ,        9 months  
Islamic Studies and History MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-islamic-studies-and-history,Faculty of Oriental Studies,        Full time  ,        21 months  
Islamic Studies and History MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-islamic-studies-and-history,Faculty of Oriental Studies,        Full time  ,        9 months  
Japanese Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-japanese-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        21 months  
Japanese Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-japanese-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        1 year  
Jewish Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-jewish-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Jewish Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-jewish-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Jewish Studies in the Graeco-Roman Period MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-jewish-studies-graeco-roman-period,Faculty of Oriental Studies,        Full time  ,        21 months  
Jewish Studies in the Graeco-Roman Period MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-jewish-studies-graeco-roman-period,Faculty of Oriental Studies,        Full time  ,        9 months  
Judaism and Christianity in the Graeco-Roman World MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-judaism-and-christianity-graeco-roman-world,Faculty of Theology and Religion,        Full time  ,        21 months  
Korean Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-korean-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Late Antique and Byzantine Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-late-antique-and-byzantine-studies,"Faculty of History, Humanities Interdisciplinary Courses",        Full time  ,        21 months  
Late Antique and Byzantine Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-late-antique-and-byzantine-studies,"Faculty of History, Humanities Interdisciplinary Courses",        Full time  ,        9 months  
Latin American Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-latin-american-studies,Oxford School of Global and Area Studies,        Full time  ,        21 months  
Latin American Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-latin-american-studies,Oxford School of Global and Area Studies,        Full time  ,        9 months  
Law DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-law,Faculty of Law,        Full time  ,        3-4 years  
Law DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-law-pt,Faculty of Law,        Part time  ,        6-8 years  
Law MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-law,Faculty of Law,        Full time  ,        1 year  
Law and Finance MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-law-and-finance,"Faculty of Law, Saïd Business School",        Full time  ,        10 months  
Learning and Teaching MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-learning-and-teaching,Department of Education,        Part time  ,        2 years  
"Linguistics, Philology and Phonetics DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-linguistics-philology-phonetics,"Faculty of Linguistics, Philology & Phonetics",        Full time  ,        3-4 years  
"Linguistics, Philology and Phonetics DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-linguistics-philology-phonetics-pt,"Faculty of Linguistics, Philology & Phonetics",        Part time  ,        6-8 years  
"Linguistics, Philology and Phonetics MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-linguistics-philology-phonetics,"Faculty of Linguistics, Philology & Phonetics",        Full time  ,        21 months  
"Linguistics, Philology and Phonetics MSt",https://www.ox.ac.uk/admissions/graduate/courses/mst-linguistics-philology-phonetics,"Faculty of Linguistics, Philology & Phonetics",        Full time  ,        9 months  
Literature and Arts DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-literature-and-arts,Department for Continuing Education,        Part time  ,        4-8 years  
Literature and Arts MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-literature-and-arts,Department for Continuing Education,        Part time  ,        2 years  
Magister Juris MJur,https://www.ox.ac.uk/admissions/graduate/courses/magister-juris,Faculty of Law,        Full time  ,        10 months  
Major Programme Management MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-major-programme-management,Saïd Business School,        Part time  ,        2 years  
Management DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-management,Saïd Business School,        Full time  ,        4 years  
Master of Business Administration MBA,https://www.ox.ac.uk/admissions/graduate/courses/mba,Saïd Business School,        Full time  ,        1 year  
Master of Business Administration Oxford 1+1 MBA programme,https://www.ox.ac.uk/admissions/graduate/courses/oxford-1plus1-mba,Saïd Business School,        Full time  ,        2 years  
Materials DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-materials,Department of Materials,        Full time  ,        3-4 years  
Materials MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-materials,Department of Materials,        Full time  ,        2-3 years  
Mathematical and Computational Finance MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-mathematical-and-computational-finance,Mathematical Institute,        Full time  ,        10 months  
Mathematical and Theoretical Physics MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-mathematical-and-theoretical-physics,"Mathematical Institute, Department of Physics",        Full time  ,        9 months  
Mathematical Modelling and Scientific Computing MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-mathematical-modelling-and-scientific-computing,Mathematical Institute,        Full time  ,        1 year  
Mathematical Sciences MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-mathematical-sciences,"Mathematical Institute, Department of Statistics",        Full time  ,        9 months  
Mathematics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-mathematics,Mathematical Institute,        Full time  ,        3-4 years  
Mathematics MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-mathematics,Mathematical Institute,        Full time  ,        2-3 years  
Mathematics and Foundations of Computer Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-mathematics-and-foundations-computer-science,Mathematical Institute,        Full time  ,        1 year  
"Mathematics of Random Systems: Analysis, Modelling and Algorithms EPSRC CDT",https://www.ox.ac.uk/admissions/graduate/courses/mathematics-random-systems,Mathematical Institute,        Full time  ,        4 years  
Medical Anthropology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-medical-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        21 months  
Medical Anthropology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-medical-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        1 year  
Medical Education MSc ,https://www.ox.ac.uk/admissions/graduate/courses/msc-medical-education,"Department of Education, Medical School",        Part time  ,        2 years  
Medical Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-medical-sciences,Radcliffe Department of Medicine,        Full time  ,        3-4 years  
Medical Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-medical-sciences-pt,Radcliffe Department of Medicine,        Part time  ,        6-8 years  
Medicine BM BCh (Graduate entry),https://www.ox.ac.uk/admissions/graduate/courses/medicine,Medical School,        Full time  ,        4 years  
Medieval and Modern Languages DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-medieval-and-modern-languages,Faculty of Medieval and Modern Languages,        Full time  ,        3-4 years  
Medieval and Modern Languages DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-medieval-and-modern-languages-pt,Faculty of Medieval and Modern Languages,        Part time  ,        6-8 years  
Medieval Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-medieval-studies,Humanities Interdisciplinary Courses,        Full time  ,        9 months  
Migration Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-migration-studies,"School of Anthropology and Museum Ethnography, Department of International Development",        Full time  ,        3-4 years  
Migration Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-migration-studies-pt,"School of Anthropology and Museum Ethnography, Department of International Development",        Part time  ,        6-8 years  
Migration Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-migration-studies,"School of Anthropology and Museum Ethnography, Department of International Development",        Full time  ,        9 months  
Mindfulness Based Cognitive Therapy MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-mindfulness-based-cognitive-therapy,"Department for Continuing Education, Department of Psychiatry",        Part time  ,        2 years  
Modelling for Global Health MSc ,https://www.ox.ac.uk/admissions/graduate/courses/msc-modelling-for-global-health,Nuffield Department of Clinical Medicine,        Full time  ,        1 year  
Modern Chinese Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-modern-chinese-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        21 months  
Modern Languages MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-modern-languages,Faculty of Medieval and Modern Languages,        Full time  ,        21 months  
Modern Languages MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-modern-languages,Faculty of Medieval and Modern Languages,        Full time  ,        9 months  
Modern Middle Eastern Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-modern-middle-eastern-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Modern Middle Eastern Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-modern-middle-eastern-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        1 year  
Modern South Asian Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-modern-south-asian-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        21 months  
Modern South Asian Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-modern-south-asian-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        1 year  
Modern Statistics and Statistical Machine Learning EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/modern-statistics-statistical-machine-learning,Department of Statistics,        Full time  ,        4 years  
Modern Statistics and Statistical Machine Learning  EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/modern-statistics-statistical-machine-learning-pt,Department of Statistics,        Part time  ,        8 years  
Molecular and Cellular Medicine DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-molecular-and-cellular-medicine,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Full time  ,        3-4 years  
Molecular and Cellular Medicine DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-molecular-and-cellular-medicine-pt,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Part time  ,        6-8 years  
Molecular and Cellular Medicine MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-molecular-and-cellular-medicine,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Full time  ,        1-3 years  
Molecular and Cellular Medicine MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-molecular-and-cellular-medicine-pt,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Part time  ,        2-6 years  
Molecular Cell Biology in Health and Disease DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-molecular-cell-biology-in-health-and-disease,Sir William Dunn School of Pathology,        Full time  ,        3-4 years  
Musculoskeletal Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-musculoskeletal-sciences,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Full time  ,        3-4 years  
Musculoskeletal Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-musculoskeletal-sciences-pt,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Part time  ,        6-8 years  
Musculoskeletal Sciences MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-musculoskeletal-sciences,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Part time  ,        2 years  
Musculoskeletal Sciences MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-musculoskeletal-sciences,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Full time  ,        1-3 years  
Musculoskeletal Sciences MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-musculoskeletal-sciences-pt,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences",        Part time  ,        2-6 years  
Music DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-music,Faculty of Music,        Full time  ,        3-4 years  
Music DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-music-pt,Faculty of Music,        Part time  ,        7-8 years  
Music (Composition) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-music-composition,Faculty of Music,        Full time  ,        21 months  
Music (Composition) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-music-composition,Faculty of Music,        Full time  ,        9 months  
Music (Musicology) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-music-musicology,Faculty of Music,        Full time  ,        21 months  
Music (Musicology) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-music-musicology,Faculty of Music,        Full time  ,        9 months  
Music (Performance) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-music-performance,Faculty of Music,        Full time  ,        21 months  
Music (Performance) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-music-performance,Faculty of Music,        Full time  ,        9 months  
Nanotechnology PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-nanotechnology,Department for Continuing Education,        Part time  ,        10 months  
Nanotechnology for Medicine and Health Care MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-nanotechnology-for-medicine-and-health-care,"Department for Continuing Education, Department of Engineering Science",        Part time  ,        2-4 years  
"Nature, Society and Environmental Governance MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-nature-society-and-environmental-governance,School of Geography and the Environment,        Full time  ,        2 years  
"Nature, Society and Environmental Governance MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-nature-society-and-environmental-governance,School of Geography and the Environment,        Full time  ,        1 year  
Neuroscience combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-neuroscience,"Medical Sciences Doctoral Training Centre, Oxford Neuroscience",        Full time  ,        4 years  
Neuroscience MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-neuroscience,Oxford Neuroscience,        Full time  ,        1 year  
Oncology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-oncology,Department of Oncology,        Full time  ,        3-4 years  
Oncology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-oncology,Department of Oncology,        Full time  ,        1-3 years  
Organic Chemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-organic-chemistry,Department of Chemistry,        Full time  ,        3-4 years  
Organic Chemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-organic-chemistry,Department of Chemistry,        Full time  ,        2-3 years  
Organisational Leadership PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-organisational-leadership,Saïd Business School,        Part time  ,        1 year  
Oriental Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-oriental-studies,Faculty of Oriental Studies,        Full time  ,        3-4 years  
Oriental Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-oriental-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Paediatric Infectious Diseases MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-paediatric-infectious-diseases,"Department for Continuing Education, Department of Paediatrics",        Part time  ,        1 year  
Paediatric Infectious Diseases PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-paediatric-infectious-diseases,"Department for Continuing Education, Department of Paediatrics",        Part time  ,        2 years  
Paediatrics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-paediatrics,Department of Paediatrics,        Full time  ,        3-4 years  
Paediatrics MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-paediatrics,Department of Paediatrics,        Full time  ,        1-3 years  
Particle Physics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-particle-physics,Department of Physics,        Full time  ,        3-4 years  
Patient Safety PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-patient-safety,"Department for Continuing Education, Nuffield Department of Surgical Sciences",        Part time  ,        1-2 years  
PGCE PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgce,Department of Education,        Full time  ,        1 year  
Pharmacology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-pharmacology,Department of Pharmacology,        Full time  ,        3-4 years  
Pharmacology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-pharmacology,Department of Pharmacology,        Full time  ,        1 year  
Pharmacology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-pharmacology,Department of Pharmacology,        Full time  ,        1-3 years  
Philosophical Theology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-philosophical-theology,Faculty of Theology and Religion,        Full time  ,        21 months  
Philosophical Theology MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-philosophical-theology,Faculty of Theology and Religion,        Full time  ,        9 months  
Philosophy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-philosophy,Faculty of Philosophy,        Full time  ,        3-4 years  
Philosophy BPhil,https://www.ox.ac.uk/admissions/graduate/courses/bphil-philosophy,Faculty of Philosophy,        Full time  ,        21 months  
Philosophy of Physics MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-philosophy-physics,Faculty of Philosophy,        Full time  ,        9 months  
Physical and Theoretical Chemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-physical-and-theoretical-chemistry,Department of Chemistry,        Full time  ,        3-4 years  
Physical and Theoretical Chemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-physical-and-theoretical-chemistry,Department of Chemistry,        Full time  ,        2-3 years  
"Physiology, Anatomy and Genetics DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-physiology-anatomy-and-genetics,"Department of Physiology, Anatomy & Genetics",        Full time  ,        3-4 years  
"Physiology, Anatomy and Genetics MSc by Research",https://www.ox.ac.uk/admissions/graduate/courses/msc-research-physiology-anatomy-and-genetics,"Department of Physiology, Anatomy & Genetics",        Full time  ,        1-3 years  
Political Theory Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-political-theory-research,Department of Politics and International Relations,        Full time  ,        1 year  
Politics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-politics,Department of Politics and International Relations,        Full time  ,        3-4 years  
Politics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-politics-pt,Department of Politics and International Relations,        Part time  ,        6-8 years  
Politics (Comparative Government) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-comparative-government,Department of Politics and International Relations,        Full time  ,        21 months  
Politics (European Politics and Society) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-european-politics-and-society,Department of Politics and International Relations,        Full time  ,        21 months  
Politics (Political Theory) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-political-theory,Department of Politics and International Relations,        Full time  ,        21 months  
Politics Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-politics-research,Department of Politics and International Relations,        Full time  ,        1 year  
Population Health DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-population-health,Nuffield Department of Population Health,        Full time  ,        3-4 years  
Population Health DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-population-health-pt,Nuffield Department of Population Health,        Part time  ,        6-8 years  
Practical Ethics MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-practical-ethics,"Department for Continuing Education, Faculty of Philosophy",        Part time  ,        2-3 years  
Precision Cancer Medicine MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-precision-cancer-medicine,Department of Oncology,        Part time  ,        2 years  
Primary Health Care DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-primary-health-care,Nuffield Department of Primary Care Health Sciences,        Full time  ,        3-4 years  
Primary Health Care DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-primary-health-care-pt,Nuffield Department of Primary Care Health Sciences,        Part time  ,        6-8 years  
Psychiatry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-psychiatry,Department of Psychiatry,        Full time  ,        3-4 years  
Psychiatry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-psychiatry-pt,Department of Psychiatry,        Part time  ,        6-8 years  
Psychiatry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-psychiatry,Department of Psychiatry,        Full time  ,        1-3 years  
Psychiatry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-psychiatry-pt,Department of Psychiatry,        Part time  ,        2-6 years  
Psychodynamic Counselling PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-psychodynamic-counselling,Department for Continuing Education,        Part time  ,        9 months  
Psychodynamic Practice MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-psychodynamic-practice,Department for Continuing Education,        Part time  ,        1 year  
Psychodynamic Practice PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-psychodynamic-practice,Department for Continuing Education,        Part time  ,        21 months  
Psychological Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-psychological-research,Department of Experimental Psychology,        Full time  ,        1 year  
Public Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-public-policy,Blavatnik School of Government,        Full time  ,        3 years  
Public Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-public-policy-pt,Blavatnik School of Government,        Part time  ,        6-8 years  
Public Policy 1+1 (MPP + MSc),https://www.ox.ac.uk/admissions/graduate/courses/public-policy-1plus1-programme,Blavatnik School of Government,        Full time  ,        2 years  
Public Policy MPP,https://www.ox.ac.uk/admissions/graduate/courses/master-public-policy,Blavatnik School of Government,        Full time  ,        1 year  
Public Policy Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-public-policy-research,Blavatnik School of Government,        Full time  ,        1 year  
Qualitative Health Research Methods PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-qualitative-health-research-methods,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        1-2 years  
Radiation Biology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-radiation-biology,Department of Oncology,        Full time  ,        1 year  
Refugee and Forced Migration Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-refugee-and-forced-migration-studies,Department of International Development,        Full time  ,        9 months  
Russian and East European Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-russian-and-east-european-studies,Oxford School of Global and Area Studies,        Full time  ,        21 months  
Russian and East European Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-russian-and-east-european-studies,Oxford School of Global and Area Studies,        Full time  ,        9 months  
Slavonic Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-slavonic-studies,Faculty of Medieval and Modern Languages,        Full time  ,        21 months  
Slavonic Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-slavonic-studies,Faculty of Medieval and Modern Languages,        Full time  ,        9 months  
Sleep Medicine MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-sleep-medicine,Nuffield Department of Clinical Neurosciences,        Part time  ,        2 years  
Sleep Medicine PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-sleep-medicine,Nuffield Department of Clinical Neurosciences,        Part time  ,        2 years  
Social Anthropology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-social-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        21 months  
Social Anthropology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        1 year  
Social Data Science combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-data-science-combined,Oxford Internet Institute,        Full time  ,        10 months + 3-4 years  
Social Data Science combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-data-science-combined-pt,Oxford Internet Institute,        Mixed  ,        10 months + 6-8 years  
Social Data Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-data-science,Oxford Internet Institute,        Full time  ,        3-4 years  
Social Data Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-data-science-pt,Oxford Internet Institute,        Part time  ,        6-8 years  
Social Data Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-data-science,Oxford Internet Institute,        Full time  ,        10 months  
